,president1,date1,president2,date2,sim
143,William Howard Taft,1911,Warren G. Harding,1922,0.392011069223
144,William Howard Taft,1911,John Adams,1799,0.656875122991
145,William Howard Taft,1911,John Tyler,1843,0.694391032143
146,William Howard Taft,1911,William McKinley,1899,0.720392997304
147,William Howard Taft,1911,Harry S Truman,1949,0.512113667715
148,William Howard Taft,1911,Dwight D. Eisenhower,1957,0.440140102734
149,William Howard Taft,1911,John F. Kennedy,1962,0.499985751055
150,William Howard Taft,1911,Calvin Coolidge,1926,0.703490064802
151,William Howard Taft,1911,Zachary Taylor,1849,0.588308964662
152,William Howard Taft,1911,Grover Cleveland,1887,0.711943118873
153,William Howard Taft,1911,Jimmy Carter,1979,0.425551493239
154,William Howard Taft,1911,Andrew Johnson,1867,0.652667467698
155,William Howard Taft,1911,George W. Bush,2005,0.38065897765
156,William Howard Taft,1911,Benjamin Harrison,1891,0.660607510342
157,William Howard Taft,1911,Martin Van Buren,1839,0.688693594581
158,William Howard Taft,1911,James A. Garfield,1881,0.575751554533
159,William Howard Taft,1911,Abraham Lincoln,1863,0.605864028602
160,William Howard Taft,1911,George Washington,1793,0.614155517578
161,William Howard Taft,1911,Chester Arthur,1883,0.72855456351
162,William Howard Taft,1911,Thomas Jefferson,1805,0.588976767548
163,William Howard Taft,1911,Ronald Reagan,1985,0.471301619557
164,Andrew Jackson,1833,Franklin Pierce,1855,0.885292260124
165,Andrew Jackson,1833,Bill Clinton,1997,0.35749619016
166,Andrew Jackson,1833,Herbert Hoover,1931,0.681985810214
167,Andrew Jackson,1833,William Howard Taft,1911,0.690576041309
168,Andrew Jackson,1833,Millard Fillmore,1851,0.649498788133
169,Andrew Jackson,1833,Gerald Ford,1975,0.538902365565
170,Andrew Jackson,1833,Franklin D. Roosevelt,1939,0.550140598973
171,Andrew Jackson,1833,James K. Polk,1847,0.847664029403
172,Andrew Jackson,1833,Richard Nixon,1971,0.500867326866
173,Andrew Jackson,1833,Barack Obama,2012,0.397144408491
174,Andrew Jackson,1833,James Madison,1813,0.837987496185
175,Andrew Jackson,1833,James Buchanan,1859,0.869831437708
176,Andrew Jackson,1833,Ulysses S. Grant,1873,0.876197470784
177,Andrew Jackson,1833,Rutherford B. Hayes,1879,0.826332812976
178,Andrew Jackson,1833,James Monroe,1821,0.850608839829
179,Andrew Jackson,1833,Lyndon B. Johnson,1966,0.502131809095
180,Andrew Jackson,1833,Theodore Roosevelt,1905,0.711405334517
181,Andrew Jackson,1833,John Quincy Adams,1827,0.812702371369
182,Andrew Jackson,1833,Woodrow Wilson,1917,0.69682692269
183,Andrew Jackson,1833,George Bush,1991,0.429302892197
184,Andrew Jackson,1833,Warren G. Harding,1922,0.344238692833
185,Andrew Jackson,1833,John Adams,1799,0.854550091836
186,Andrew Jackson,1833,John Tyler,1843,0.908519041905
187,Andrew Jackson,1833,William McKinley,1899,0.811820317773
188,Andrew Jackson,1833,Harry S Truman,1949,0.55840681514
189,Andrew Jackson,1833,Dwight D. Eisenhower,1957,0.499626742625
190,Andrew Jackson,1833,John F. Kennedy,1962,0.522157514358
191,Andrew Jackson,1833,Calvin Coolidge,1926,0.696431816043
192,Andrew Jackson,1833,Zachary Taylor,1849,0.74798542128
193,Andrew Jackson,1833,Grover Cleveland,1887,0.802834742001
194,Andrew Jackson,1833,Jimmy Carter,1979,0.450686978236
195,Andrew Jackson,1833,Andrew Johnson,1867,0.778046998784
196,Andrew Jackson,1833,George W. Bush,2005,0.377655144136
197,Andrew Jackson,1833,Benjamin Harrison,1891,0.735388570691
198,Andrew Jackson,1833,Martin Van Buren,1839,0.915670393975
199,Andrew Jackson,1833,James A. Garfield,1881,0.641896818176
200,Andrew Jackson,1833,Abraham Lincoln,1863,0.729941603635
201,Andrew Jackson,1833,George Washington,1793,0.818589955658
202,Andrew Jackson,1833,Chester Arthur,1883,0.824634783559
203,Andrew Jackson,1833,Thomas Jefferson,1805,0.772533542699
204,Andrew Jackson,1833,Ronald Reagan,1985,0.485105010558
205,Millard Fillmore,1851,Franklin Pierce,1855,0.62424314513
206,Millard Fillmore,1851,Bill Clinton,1997,0.24949377655
207,Millard Fillmore,1851,Herbert Hoover,1931,0.496891501989
208,Millard Fillmore,1851,William Howard Taft,1911,0.525856443854
209,Millard Fillmore,1851,Andrew Jackson,1833,0.649498788133
210,Millard Fillmore,1851,Gerald Ford,1975,0.373315319535
211,Millard Fillmore,1851,Franklin D. Roosevelt,1939,0.399478871682
212,Millard Fillmore,1851,James K. Polk,1847,0.637910110795
213,Millard Fillmore,1851,Richard Nixon,1971,0.343808659261
214,Millard Fillmore,1851,Barack Obama,2012,0.277683603051
215,Millard Fillmore,1851,James Madison,1813,0.587323328338
216,Millard Fillmore,1851,James Buchanan,1859,0.610365016446
217,Millard Fillmore,1851,Ulysses S. Grant,1873,0.640054509171
218,Millard Fillmore,1851,Rutherford B. Hayes,1879,0.610010016146
219,Millard Fillmore,1851,James Monroe,1821,0.60808756868
220,Millard Fillmore,1851,Lyndon B. Johnson,1966,0.348334782752
221,Millard Fillmore,1851,Theodore Roosevelt,1905,0.524823426601
222,Millard Fillmore,1851,John Quincy Adams,1827,0.601906405578
223,Millard Fillmore,1851,Woodrow Wilson,1917,0.514023113012
224,Millard Fillmore,1851,George Bush,1991,0.294919989386
225,Millard Fillmore,1851,Warren G. Harding,1922,0.260511114443
226,Millard Fillmore,1851,John Adams,1799,0.624345481433
227,Millard Fillmore,1851,John Tyler,1843,0.650684427902
228,Millard Fillmore,1851,William McKinley,1899,0.598214575278
229,Millard Fillmore,1851,Harry S Truman,1949,0.384610389402
230,Millard Fillmore,1851,Dwight D. Eisenhower,1957,0.338783367835
231,Millard Fillmore,1851,John F. Kennedy,1962,0.36447557032
232,Millard Fillmore,1851,Calvin Coolidge,1926,0.518762229559
233,Millard Fillmore,1851,Zachary Taylor,1849,0.598678990713
234,Millard Fillmore,1851,Grover Cleveland,1887,0.58984014332
235,Millard Fillmore,1851,Jimmy Carter,1979,0.305723987438
236,Millard Fillmore,1851,Andrew Johnson,1867,0.545709320063
237,Millard Fillmore,1851,George W. Bush,2005,0.271913215766
238,Millard Fillmore,1851,Benjamin Harrison,1891,0.542226019679
239,Millard Fillmore,1851,Martin Van Buren,1839,0.626172816604
240,Millard Fillmore,1851,James A. Garfield,1881,0.446575043064
241,Millard Fillmore,1851,Abraham Lincoln,1863,0.508584566804
242,Millard Fillmore,1851,George Washington,1793,0.564461774353
243,Millard Fillmore,1851,Chester Arthur,1883,0.635431856219
244,Millard Fillmore,1851,Thomas Jefferson,1805,0.57638067903
245,Millard Fillmore,1851,Ronald Reagan,1985,0.329261943276
246,Gerald Ford,1975,Franklin Pierce,1855,0.550223648989
247,Gerald Ford,1975,Bill Clinton,1997,0.663244194675
248,Gerald Ford,1975,Herbert Hoover,1931,0.686392760571
249,Gerald Ford,1975,William Howard Taft,1911,0.509514697274
250,Gerald Ford,1975,Andrew Jackson,1833,0.538902365565
251,Gerald Ford,1975,Millard Fillmore,1851,0.373315319535
252,Gerald Ford,1975,Franklin D. Roosevelt,1939,0.714697571131
253,Gerald Ford,1975,James K. Polk,1847,0.523546713205
254,Gerald Ford,1975,Richard Nixon,1971,0.798082729977
255,Gerald Ford,1975,Barack Obama,2012,0.692944316602
256,Gerald Ford,1975,James Madison,1813,0.587060045745
257,Gerald Ford,1975,James Buchanan,1859,0.539891244704
258,Gerald Ford,1975,Ulysses S. Grant,1873,0.588811540027
259,Gerald Ford,1975,Rutherford B. Hayes,1879,0.550750274255
